ID_Adr,N,Nom_Rue,Code_Postal,NB_KW_Jour
100069,55.0,Rue Gambetta,91000,24.4
100070,110.0,Avenue François Mitterrand,91000,13.0
100071,146.0,Avenue de la Gare,91000,13.4
100072,194.0,Avenue du Général de Gaulle,91000,
100073,46.0,Rue Nationale,91000,14.6
100074,107.0,Avenue Jean Jaurès,91000,11.1
100075,73.0,Boulevard des Champs,91000,14.6
100076,66.0,Avenue des Lilas,91000,11.7
100077,59.0,Rue de l'Église,91000,31.3
100078,176.0,Boulevard Clemenceau,91000,
100079,212.0,Boulevard Clemenceau,91000,15.3
100080,55.0,Avenue des Lilas,91000,16.6
100081,213.0,Rue du Stade,91000,11.8
100082,167.0,Rue des Roses,91000,21.6
100083,222.0,Boulevard de l'Hôpital,91000,10.7
100084,30.0,Rue de la République,91000,18.8
100085,187.0,Rue de la République,91000,15.2
100086,28.0,Rue de l'Église,91000,30.9
100087,185.0,Rue du Commerce,91000,24.8
100088,244.0,Avenue Carnot,91000,18.4
100089,31.0,Rue de l'Essonne,91000,5.6
100090,95.0,Boulevard des Sports,91000,15.5
100091,230.0,Rue Pasteur,91000,19.3
100092,60.0,Boulevard des Champs,91000,17.4
100093,230.0,Rue de la Gendarmerie,91000,14.8
100094,209.0,Rue de l'Église,91000,22.3
100095,217.0,Rue de la Gendarmerie,91000,12.1
100096,153.0,Rue Pasteur,91000,11.0
100097,206.0,Rue des Écoles,91000,136.1
100098,146.0,Avenue des Écoles,91000,20.2
100099,174.0,Avenue du Parc,91000,33.8
100100,164.0,Boulevard des Sports,91000,20.1
100101,9.0,Boulevard Liberté,91000,14.9
100102,141.0,Avenue Carnot,91000,25.4
100103,40.0,Boulevard des Platanes,91000,21.2
100104,42.0,Rue de l'Essonne,91000,27.8
100105,57.0,Boulevard Clemenceau,91000,18.3
100106,245.0,Rue Nationale,91000,22.7
100107,135.0,Avenue François Mitterrand,91000,14.9
100108,206.0,Avenue des Écoles,91000,11.3
100109,50.0,Avenue de la Poste,91000,13.1
100110,78.0,Avenue Jean Jaurès,91000,23.0
100111,1.0,Rue des Roses,91000,14.5
100112,165.0,Rue Pasteur,91000,23.0
100113,140.0,Boulevard des Champs,91000,22.7
100114,248.0,Rue du Stade,91000,4.9
100115,25.0,Rue de l'Essonne,91000,13.2
100116,,Boulevard Clemenceau,91000,17.9
100117,51.0,Rue Pasteur,91000,17.0
100118,100.0,Boulevard de l'Hôpital,91000,11.2
100119,24.0,Rue du Commerce,91000,9.8
100120,67.0,Rue Nationale,91000,14.7
100121,127.0,Boulevard Liberté,91000,17.0
100122,179.0,Avenue Jean Jaurès,91000,15.9
100123,24.0,Avenue des Écoles,91000,20.0
100124,128.0,Avenue de l'Europe,91000,16.9
100125,245.0,Rue des Roses,91000,22.7
100126,76.0,Boulevard de l'Hôpital,91000,15.2
100127,143.0,Rue de la Mairie,91000,32.5
100128,243.0,Boulevard de la Paix,91000,28.7
100129,158.0,Rue Gambetta,91000,15.7
100130,134.0,Avenue de la Poste,91000,
100131,181.0,Rue de l'Église,91000,12.4
100132,97.0,Avenue du Parc,91000,17.4
100133,157.0,Boulevard Victor Hugo,91000,29.5
100134,247.0,Boulevard de l'Hôpital,91000,22.5
100135,75.0,Boulevard des Sports,91000,17.6
100136,135.0,Avenue du Général de Gaulle,91000,13.7
100137,203.0,Rue des Écoles,91000,18.6
100138,173.0,Rue Pasteur,91000,17.4
100139,225.0,Avenue du Général de Gaulle,91000,26.0
100140,87.0,Rue du Commerce,91000,21.4
100141,237.0,Boulevard de l'Hôpital,91000,27.0
100142,246.0,Rue Nationale,91000,18.5
100143,213.0,Boulevard Victor Hugo,91000,19.3
100144,197.0,Rue de l'Église,91000,15.9
100145,7.0,Rue de la Mairie,91000,14.7
100146,238.0,Avenue François Mitterrand,91000,24.6
100147,221.0,Avenue de la Gare,91000,21.4
100148,77.0,Avenue des Écoles,91000,20.3
100149,92.0,Rue de la Gendarmerie,91000,18.4
100150,176.0,Boulevard Clemenceau,91000,11.6
100151,86.0,Avenue des Écoles,91000,10.9
100152,9.0,Avenue de la Poste,91000,23.3
100153,1.0,Rue des Écoles,91000,18.7
100154,59.0,Rue de l'Église,91000,25.1
100155,235.0,Boulevard Victor Hugo,91000,17.4
100156,202.0,Avenue Foch,91000,20.1
100157,92.0,Rue Pasteur,91000,24.2
100158,12.0,Avenue du Général de Gaulle,91000,13.3
100159,227.0,Rue Nationale,91000,21.1
100160,171.0,Boulevard Clemenceau,91000,21.9
100161,44.0,Avenue du Général de Gaulle,91000,
100162,183.0,Rue des Roses,91000,30.2
100163,23.0,Avenue François Mitterrand,91000,20.3
100164,185.0,Rue de la République,91000,13.7
100165,80.0,Rue Nationale,91000,31.1
100166,247.0,Rue du Stade,91000,14.8
100167,147.0,Avenue Carnot,91000,
100168,104.0,Boulevard Victor Hugo,91000,23.9
100169,239.0,Avenue des Tilleuls,91000,20.5
100170,36.0,Rue du Stade,91000,31.0
100171,119.0,Boulevard de l'Hôpital,91000,20.5
100172,85.0,Boulevard des Sports,91000,12.9
100173,160.0,Rue des Roses,91000,33.4
100174,55.0,Rue de l'Essonne,91000,11.1
100175,173.0,Rue Nationale,91000,14.3
100176,42.0,Avenue de la Gare,91000,14.8
100177,173.0,Rue des Écoles,91000,
100178,239.0,Rue du Stade,91000,20.3
100179,118.0,Boulevard de l'Hôpital,91000,19.5
100180,13.0,Avenue des Lilas,91000,12.5
100181,171.0,Avenue des Lilas,91000,21.5
100182,33.0,Boulevard des Platanes,91000,15.5
100183,168.0,Avenue Carnot,91000,14.8
100184,123.0,Boulevard de l'Hôpital,91000,24.7
100185,243.0,Avenue des Tilleuls,91000,16.4
100186,82.0,Avenue Jean Jaurès,91000,19.9
100187,59.0,Boulevard des Platanes,91000,22.3
100188,187.0,Avenue du Général de Gaulle,91000,14.8
100189,30.0,Avenue des Lilas,91000,23.2
100190,122.0,Avenue du Général de Gaulle,91000,19.6
100191,61.0,Avenue du Parc,91000,21.6
100192,122.0,Boulevard des Sports,91000,17.5
100193,118.0,Avenue des Tilleuls,91000,31.8
100194,134.0,Avenue Carnot,91000,15.4
100195,129.0,Boulevard Clemenceau,91000,17.8
100196,153.0,Boulevard de la Paix,91000,28.5
100197,17.0,Rue Pasteur,91000,26.2
100198,26.0,Rue de la Mairie,91000,18.1
100199,214.0,Rue des Écoles,91000,18.5
100200,129.0,Avenue François Mitterrand,91000,14.2
100201,151.0,Boulevard des Champs,91000,10.9
100202,91.0,Avenue de la Poste,91000,10.6
100203,124.0,Rue Pasteur,91000,19.0
100204,168.0,Boulevard des Sports,91000,21.4
100205,212.0,Avenue des Lilas,91000,35.9
100206,30.0,Rue de l'Essonne,91000,28.0
100207,186.0,Avenue des Écoles,91000,18.3
100208,86.0,Boulevard des Sports,91000,28.7
100209,6.0,Boulevard des Champs,91000,20.4
100210,111.0,Rue du Stade,91000,11.6
100211,127.0,Avenue du Général de Gaulle,91000,34.1
100212,22.0,Avenue du Général de Gaulle,91000,16.9
100213,38.0,Rue Pasteur,91000,17.5
100214,60.0,Avenue de l'Europe,91000,16.7
100215,29.0,Rue des Roses,91000,26.5
100216,65.0,Boulevard des Platanes,91000,19.9
100217,231.0,Avenue du Parc,91000,4.1
100218,90.0,Boulevard des Sports,91000,7.6
100219,187.0,Rue de la République,91000,18.6
100220,105.0,Avenue de l'Europe,91000,31.4
100221,5.0,Rue de la République,91000,18.3
100222,244.0,Avenue des Écoles,91000,12.0
100223,94.0,Boulevard des Champs,91000,14.1
100224,142.0,Avenue des Écoles,91000,24.8
100225,167.0,Rue de la Gendarmerie,91000,26.2
100226,69.0,Rue de l'Essonne,91000,13.1
100227,175.0,Boulevard des Platanes,91000,18.6
100228,173.0,Rue de la République,91000,28.6
100229,82.0,Rue des Écoles,91000,9.6
100230,136.0,Avenue de la Poste,91000,23.2
100231,63.0,Avenue François Mitterrand,91000,23.5
100232,83.0,Rue de la Gendarmerie,91000,17.0
100233,69.0,Avenue Foch,91000,10.8
100234,52.0,Rue du Commerce,91000,11.9
100235,63.0,Avenue des Écoles,91000,24.6
100236,230.0,Avenue de la Gare,91000,21.1
100237,172.0,Avenue François Mitterrand,91000,36.5
100238,218.0,Avenue Carnot,91000,10.1
100239,177.0,Rue Nationale,91000,11.4
100240,177.0,Avenue de la Gare,91000,21.1
100241,79.0,Boulevard des Platanes,91000,
100242,27.0,Rue des Écoles,91000,28.8
100243,242.0,Rue du Commerce,91000,15.4
100244,4.0,Avenue des Écoles,91000,12.6
100245,182.0,Avenue du Parc,91000,25.4
100246,145.0,Boulevard des Platanes,91000,10.4
100247,129.0,Boulevard Victor Hugo,91000,8.0
100248,31.0,Avenue des Lilas,91000,10.5
100249,91.0,Boulevard des Sports,91000,36.3
100250,99.0,Boulevard Clemenceau,91000,7.1
100251,120.0,Rue des Roses,91000,15.6
100252,178.0,Avenue de l'Europe,91000,9.6
100253,126.0,Avenue des Lilas,91000,14.0
100254,171.0,Boulevard Victor Hugo,91000,27.6
100255,60.0,Boulevard des Platanes,91000,18.7
100256,206.0,Avenue Foch,91000,22.2
100257,1.0,Rue du Commerce,91000,14.3
100258,156.0,Avenue des Lilas,91000,13.3
100259,6.0,Boulevard de la Paix,91000,10.6
100260,79.0,Rue de la Gendarmerie,91000,25.5
100261,85.0,Avenue Carnot,91000,22.9
100262,151.0,Rue Nationale,91000,22.7
100263,221.0,Rue du Stade,91000,15.6
100264,121.0,Boulevard des Platanes,91000,23.1
100265,11.0,Boulevard de l'Hôpital,91000,13.9
100266,163.0,Rue de la République,91000,16.5
100267,138.0,Avenue des Lilas,91000,9.8
100268,106.0,Avenue Jean Jaurès,91000,15.9
100269,162.0,Avenue des Écoles,91000,9.1
100270,218.0,Boulevard Victor Hugo,91000,17.7
100271,208.0,Rue des Roses,91000,17.0
100272,,Rue du Commerce,91000,21.4
100273,44.0,Avenue de l'Europe,91000,15.7
100274,241.0,Rue de la République,91000,16.3
100275,185.0,Rue de la Mairie,91000,7.7
100276,60.0,Boulevard de l'Hôpital,91000,11.9
100277,81.0,Rue du Commerce,91000,6.0
100278,171.0,Avenue Foch,91000,13.1
100279,42.0,Avenue Jean Jaurès,91000,13.6
100280,140.0,Boulevard des Sports,91000,17.6
100281,249.0,Avenue des Tilleuls,91000,
100282,22.0,Boulevard des Platanes,91000,19.8
100283,69.0,Boulevard des Platanes,91000,27.0
100284,186.0,Rue de l'Église,91000,13.4
100285,189.0,Rue de l'Église,91000,15.9
100286,146.0,Rue du Stade,91000,8.0
100287,19.0,Avenue de la Gare,91000,26.4
100288,106.0,Rue de la Gendarmerie,91000,26.6
100289,133.0,Rue de l'Essonne,91000,18.3
100290,225.0,Avenue du Parc,91000,8.0
100291,69.0,Avenue Jean Jaurès,91000,22.3
100292,142.0,Boulevard de l'Hôpital,91000,22.1
100293,111.0,Boulevard Victor Hugo,91000,19.9
100294,152.0,Rue de l'Essonne,91000,17.1
100295,179.0,Boulevard Victor Hugo,91000,11.2
100296,164.0,Avenue Jean Jaurès,91000,15.1
100297,6.0,Rue de la République,91000,21.3
100298,156.0,Rue du Commerce,91000,18.8
100299,162.0,Rue de l'Essonne,91000,27.2
100300,95.0,Rue du Stade,91000,17.2
100301,249.0,Avenue Carnot,91000,27.5
100302,197.0,Boulevard des Champs,91000,15.5
100303,238.0,Rue de l'Essonne,91000,16.4
100304,6.0,Rue Gambetta,91000,10.3
100305,169.0,Avenue Jean Jaurès,91000,13.8
100306,183.0,Boulevard Victor Hugo,91000,20.1
100307,47.0,Boulevard des Champs,91000,20.6
100308,197.0,Boulevard Victor Hugo,91000,19.2
100309,213.0,Rue Gambetta,91000,17.5
100310,100.0,Boulevard des Platanes,91000,16.7
100311,239.0,Avenue de l'Europe,91000,19.3
100312,163.0,Rue de la Mairie,91000,16.9
100313,227.0,Boulevard Victor Hugo,91000,29.9
100314,81.0,Boulevard des Champs,91000,18.6
100315,26.0,Rue Gambetta,91000,9.1
100316,101.0,Avenue de l'Europe,91000,19.0
100317,159.0,Rue de l'Église,91000,20.3
100318,99.0,Avenue du Parc,91000,14.4
100319,242.0,Boulevard des Sports,91000,27.8
100320,85.0,Avenue des Lilas,91000,12.7
100321,79.0,Rue du Commerce,91000,13.8
100322,71.0,Rue de l'Église,91000,13.2
100323,208.0,Boulevard des Sports,91000,15.7
100324,135.0,Rue des Roses,91000,17.8
100325,243.0,Rue de la Gendarmerie,91000,12.8
100326,144.0,Avenue du Parc,91000,9.0
100327,145.0,Avenue de la Poste,91000,26.6
100328,160.0,Avenue Jean Jaurès,91000,12.1
100329,42.0,Boulevard des Sports,91000,9.8
100330,79.0,Rue de la Mairie,91000,18.8
100331,216.0,Boulevard des Platanes,91000,23.1
100332,140.0,Avenue Foch,91000,23.1
100333,109.0,Boulevard de l'Hôpital,91000,9.7
100334,23.0,Boulevard Liberté,91000,30.1
100335,28.0,Rue de l'Église,91000,32.3
100336,84.0,Avenue du Parc,91000,21.7
100337,123.0,Rue Pasteur,91000,24.8
100338,248.0,Rue des Écoles,91000,16.3
100339,174.0,Rue de la République,91000,14.7
100340,17.0,Rue Nationale,91000,16.1
100341,133.0,Rue de l'Église,91000,14.2
100342,143.0,Avenue de l'Europe,91000,18.1
100343,14.0,Boulevard des Sports,91000,23.1
100344,10.0,Rue du Commerce,91000,16.6
100345,181.0,Avenue du Général de Gaulle,91000,
100346,76.0,Boulevard de la Paix,91000,20.8
100347,235.0,Rue de la Gendarmerie,91000,21.2
100348,2.0,Boulevard de la Paix,91000,13.2
100349,21.0,Rue Nationale,91000,17.8
100350,17.0,Rue Gambetta,91000,1.1
100351,112.0,Avenue de la Gare,91000,15.9
100352,228.0,Avenue des Lilas,91000,19.4
100353,,Avenue Jean Jaurès,91000,29.3
100354,93.0,Rue des Roses,91000,18.8
100355,80.0,Rue de l'Église,91000,16.8
100356,193.0,Avenue Foch,91000,24.2
100357,226.0,Avenue des Tilleuls,91000,
100358,77.0,Avenue de la Gare,91000,20.1
100359,47.0,Boulevard Liberté,91000,24.0
100360,168.0,Avenue de l'Europe,91000,14.1
100361,171.0,Rue des Roses,91000,30.9
100362,186.0,Boulevard Victor Hugo,91000,16.6
100363,239.0,Boulevard Victor Hugo,91000,15.4
100364,95.0,Boulevard Clemenceau,91000,27.7
100365,89.0,Rue du Stade,91000,13.9
100366,115.0,Avenue Jean Jaurès,91000,12.0
100367,209.0,Rue de la République,91000,6.1
100368,207.0,Avenue Carnot,91000,28.1
100369,35.0,Boulevard Liberté,91000,11.9
100370,,Avenue François Mitterrand,91000,30.5
100371,216.0,Avenue des Lilas,91000,13.5
100372,231.0,Rue de l'Église,91000,14.7
100373,216.0,Avenue des Lilas,91000,12.3
100374,100.0,Boulevard des Champs,91000,22.1
100375,148.0,Avenue de la Gare,91000,19.0
100376,126.0,Boulevard Victor Hugo,91000,11.6
100377,64.0,Avenue de la Poste,91000,6.1
100378,187.0,Boulevard de l'Hôpital,91000,19.1
100379,125.0,Avenue Jean Jaurès,91000,22.2
100380,208.0,Rue de la Mairie,91000,16.9
100381,117.0,Avenue des Écoles,91000,20.0
100382,138.0,Avenue de l'Europe,91000,16.9
100383,96.0,Avenue des Tilleuls,91000,15.3
100384,132.0,Boulevard des Platanes,91000,31.9
100385,212.0,Rue de la Gendarmerie,91000,25.9
100386,109.0,Rue du Commerce,91000,19.6
100387,47.0,Avenue Carnot,91000,12.1
100388,85.0,Rue des Roses,91000,23.9
100389,124.0,Avenue Foch,91000,13.3
100390,112.0,Boulevard des Sports,91000,22.5
100391,75.0,Boulevard des Sports,91000,23.6
100392,48.0,Rue du Stade,91000,27.9
100393,16.0,Rue des Écoles,91000,31.6
100394,45.0,Rue de la Mairie,91000,25.3
100395,8.0,Boulevard Clemenceau,91000,13.7
100396,194.0,Boulevard de l'Hôpital,91000,29.8
100397,82.0,Rue Nationale,91000,29.5
100398,7.0,Avenue des Tilleuls,91000,20.2
100399,91.0,Rue Nationale,91000,138.3
100400,169.0,Avenue François Mitterrand,91000,18.0
100401,224.0,Rue du Commerce,91000,12.5
100402,65.0,Avenue Foch,91000,20.9
100403,91.0,Rue de la Mairie,91000,9.6
100404,144.0,Boulevard de l'Hôpital,91000,18.7
100405,76.0,Avenue de la Gare,91000,
100406,,Boulevard des Platanes,91000,25.8
100407,240.0,Avenue Carnot,91000,12.0
100408,9.0,Avenue de l'Europe,91000,32.7
100409,19.0,Avenue du Général de Gaulle,91000,23.0
100410,67.0,Avenue des Lilas,91000,18.8
100411,126.0,Rue de la Mairie,91000,25.2
100412,87.0,Avenue Jean Jaurès,91000,21.5
100413,93.0,Rue des Écoles,91000,8.1
100414,203.0,Rue Gambetta,91000,16.7
100415,127.0,Boulevard de l'Hôpital,91000,29.3
100416,119.0,Rue de la Mairie,91000,12.8
100417,78.0,Boulevard Victor Hugo,91000,18.6
100418,,Boulevard des Champs,91000,17.4
100419,188.0,Rue de l'Église,91000,10.6
100420,58.0,Avenue des Lilas,91000,25.9
100421,57.0,Rue de la République,91000,20.6
100422,26.0,Boulevard de l'Hôpital,91000,11.5
100423,155.0,Rue Nationale,91000,21.9
100424,117.0,Rue de la République,91000,20.8
100425,152.0,Rue de l'Essonne,91000,13.0
100426,72.0,Avenue Carnot,91000,15.7
100427,45.0,Rue des Roses,91000,15.0
100428,36.0,Avenue Jean Jaurès,91000,16.2
100429,173.0,Boulevard Liberté,91000,21.5
100430,240.0,Rue du Stade,91000,-11.1
100431,32.0,Rue Nationale,91000,30.2
100432,148.0,Rue des Roses,91000,17.4
100433,199.0,Boulevard Victor Hugo,91000,22.4
100434,45.0,Avenue des Tilleuls,91000,15.8
100435,22.0,Avenue du Général de Gaulle,91000,17.9
100436,247.0,Rue de la République,91000,34.2
100437,55.0,Boulevard Liberté,91000,31.1
100438,142.0,Rue des Roses,91000,21.1
100439,9.0,Rue de l'Église,91000,24.2
100440,11.0,Avenue des Lilas,91000,13.9
100441,175.0,Rue de la Mairie,91000,16.0
100442,188.0,Avenue Carnot,91000,19.6
100443,29.0,Avenue du Général de Gaulle,91000,25.4
100444,1.0,Boulevard des Champs,91000,17.8
100445,97.0,Avenue du Parc,91000,27.8
100446,247.0,Avenue des Lilas,91000,24.6
100447,211.0,Boulevard de l'Hôpital,91000,10.9
100448,217.0,Boulevard Victor Hugo,91000,18.4
100449,2.0,Rue de la Mairie,91000,7.5
100450,7.0,Rue de la République,91000,12.9
100451,137.0,Rue de la Gendarmerie,91000,20.2
100452,250.0,Rue des Roses,91000,
100453,234.0,Avenue de la Gare,91000,16.9
100454,206.0,Rue de la Gendarmerie,91000,14.1
100455,83.0,Avenue des Tilleuls,91000,14.9
100456,52.0,Rue de la République,91000,15.4
100457,134.0,Avenue de la Poste,91000,19.7
100458,22.0,Rue du Commerce,91000,17.3
100459,215.0,Avenue des Lilas,91000,20.5
100460,184.0,Avenue de l'Europe,91000,23.5
100461,186.0,Avenue de la Poste,91000,6.0
100462,33.0,Boulevard de l'Hôpital,91000,10.6
100463,189.0,Rue du Commerce,91000,17.0
100464,79.0,Avenue François Mitterrand,91000,15.8
100465,62.0,Rue Gambetta,91000,23.6
100466,242.0,Avenue Carnot,91000,11.4
100467,15.0,Rue de la République,91000,12.9
100468,201.0,Boulevard des Champs,91000,10.6
100469,152.0,Boulevard des Platanes,91000,12.2
100470,124.0,Avenue Carnot,91000,13.9
100471,64.0,Avenue Carnot,91000,19.6
100472,147.0,Rue de la République,91000,18.7
100473,249.0,Rue de la Gendarmerie,91000,17.7
100474,109.0,Avenue de l'Europe,91000,31.3
100475,191.0,Boulevard Liberté,91000,25.7
100476,124.0,Avenue de la Poste,91000,14.2
100477,147.0,Boulevard Clemenceau,91000,9.3
100478,20.0,Boulevard des Sports,91000,11.7
100479,148.0,Avenue Carnot,91000,19.6
100480,46.0,Rue de l'Église,91000,16.4
100481,156.0,Rue des Écoles,91000,12.7
100482,219.0,Boulevard de l'Hôpital,91000,29.6
100483,159.0,Rue Gambetta,91000,22.3
100484,106.0,Rue Gambetta,91000,22.9
100485,237.0,Avenue des Écoles,91000,15.4
100486,104.0,Avenue du Parc,91000,8.0
100487,42.0,Rue de l'Église,91000,13.0
100488,158.0,Avenue Carnot,91000,18.0
100489,17.0,Rue Pasteur,91000,26.8
100490,242.0,Boulevard des Champs,91000,20.2
100491,113.0,Rue de la République,91000,10.3
100492,61.0,Avenue Carnot,91000,21.5
100493,6.0,Avenue de la Poste,91000,23.5
100494,66.0,Boulevard Clemenceau,91000,23.3
100495,166.0,Rue Nationale,91000,16.8
100496,157.0,Boulevard Victor Hugo,91000,18.3
100497,105.0,Rue de la Gendarmerie,91000,11.4
100498,88.0,Rue du Stade,91000,24.9
100499,56.0,Rue Pasteur,91000,17.6
100500,208.0,Avenue du Général de Gaulle,91000,13.0
100501,123.0,Rue de l'Église,91000,13.4
100502,132.0,Rue des Roses,91000,10.9
100503,222.0,Avenue des Tilleuls,91000,17.6
100504,192.0,Rue du Stade,91000,20.1
100505,234.0,Rue de l'Église,91000,9.8
100506,120.0,Avenue Jean Jaurès,91000,15.2
100507,1.0,Avenue des Écoles,91000,22.4
100508,110.0,Avenue de l'Europe,91000,25.7
100509,180.0,Avenue des Écoles,91000,22.7
100510,201.0,Boulevard de la Paix,91000,144.5
100511,66.0,Avenue du Parc,91000,13.4
100512,98.0,Avenue François Mitterrand,91000,11.5
100513,208.0,Rue de l'Église,91000,22.9
100514,235.0,Avenue des Tilleuls,91000,15.2
100515,245.0,Boulevard de l'Hôpital,91000,13.5
100516,226.0,Avenue de la Gare,91000,30.0
100517,159.0,Avenue du Général de Gaulle,91000,17.9
100518,135.0,Rue de l'Essonne,91000,0.8
100519,204.0,Boulevard des Sports,91000,15.1
100520,180.0,Avenue du Parc,91000,31.7
100521,191.0,Avenue Carnot,91000,14.1
100522,223.0,Boulevard Liberté,91000,6.4
100523,70.0,Avenue des Lilas,91000,15.6
100524,44.0,Boulevard Liberté,91000,7.6
100525,16.0,Avenue de l'Europe,91000,23.0
100526,214.0,Boulevard de la Paix,91000,12.1
100527,224.0,Rue de la République,91000,10.6
100528,143.0,Boulevard Liberté,91000,17.6
100529,140.0,Rue Nationale,91000,14.9
100530,179.0,Avenue du Général de Gaulle,91000,12.3
100531,73.0,Boulevard de la Paix,91000,17.6
100532,7.0,Avenue François Mitterrand,91000,16.7
100533,17.0,Avenue de la Gare,91000,32.6
100534,45.0,Avenue François Mitterrand,91000,20.4
100535,176.0,Avenue du Parc,91000,11.5
100536,144.0,Avenue des Lilas,91000,31.1
100537,62.0,Rue Nationale,91000,11.2
100538,79.0,Rue de l'Église,91000,4.4
100539,66.0,Boulevard Liberté,91000,20.9
100540,59.0,Rue des Roses,91000,23.6
100541,223.0,Avenue de l'Europe,91000,2.0
100542,52.0,Avenue de la Poste,91000,24.6
100543,210.0,Boulevard des Sports,91000,24.2
100544,178.0,Boulevard de la Paix,91000,18.3
100545,80.0,Avenue François Mitterrand,91000,16.5
100546,26.0,Avenue Foch,91000,18.1
100547,80.0,Rue de la Mairie,91000,19.0
100548,103.0,Rue de la Gendarmerie,91000,14.7
100549,43.0,Rue de la Mairie,91000,11.2
100550,133.0,Rue du Stade,91000,14.2
100551,184.0,Rue des Roses,91000,22.6
100552,206.0,Rue des Écoles,91000,17.2
100553,223.0,Boulevard Victor Hugo,91000,17.3
100554,11.0,Rue Nationale,91000,17.5
100555,191.0,Avenue de la Gare,91000,8.4
100556,231.0,Boulevard de l'Hôpital,91000,15.9
100557,17.0,Avenue des Écoles,91000,16.5
100558,211.0,Avenue Foch,91000,14.3
100559,79.0,Boulevard des Champs,91000,16.1
100560,67.0,Avenue de la Gare,91000,25.5
100561,192.0,Avenue de la Poste,91000,19.4
100562,85.0,Rue du Commerce,91000,29.8
100563,17.0,Avenue de l'Europe,91000,15.1
100564,135.0,Rue de l'Église,91000,9.7
100565,,Avenue des Lilas,91000,10.1
100566,191.0,Boulevard de la Paix,91000,26.0
100567,72.0,Rue Pasteur,91000,10.0
100568,136.0,Avenue des Lilas,91000,19.3
100569,178.0,Rue Pasteur,91000,17.7
100570,144.0,Rue de l'Essonne,91000,16.2
100571,104.0,Avenue de la Poste,91000,30.4
100572,185.0,Avenue de la Poste,91000,22.0
100573,214.0,Avenue des Écoles,91000,26.8
100574,39.0,Avenue des Écoles,91000,28.2
100575,97.0,Avenue Carnot,91000,17.7
100576,,Avenue Foch,91000,13.5
100577,199.0,Rue des Écoles,91000,7.8
