ID_Adr,N,Nom_Rue,Code_Postal,NB_KW_Jour,High_Consumption_Flag
137,91.0,Boulevard Malesherbes,75002,8.0,
138,161.0,Rue De Rivoli,75014,22.3,
139,134.0,Rue De La Roquette,75008,19.7,
140,249.0,Rue Amelot,75009,11.8,
141,49.0,Rue Amelot,75004,13.7,
142,246.0,Avenue De Clichy,75007,18.6,
143,136.0,Boulevard Saint-Germain,75008,14.8,
144,202.0,Rue Saint-Antoine,75018,19.5,
145,223.0,Avenue Montaigne,75013,12.8,
146,54.0,Avenue De Wagram,75010,24.6,
147,161.0,Boulevard Voltaire,75009,6.2,
148,74.0,Rue Cardinet,75009,10.6,
149,240.0,Avenue De La République,75016,14.4,
150,208.0,Boulevard Jules Ferry,75005,17.4,
151,183.0,Avenue Ledru-Rollin,75006,13.8,
152,240.0,Rue De Prony,75006,18.7,
153,198.0,Boulevard Haussmann,75011,12.3,
154,129.0,Rue Saint-Maur,75017,22.7,
155,27.0,Rue Condorcet,75003,21.7,
156,155.0,Rue Du Faubourg Saint-Honoré,75019,20.8,
157,243.0,Rue De Rome,75002,23.9,
158,124.0,Avenue Montaigne,75010,1.2,
159,184.0,Boulevard Richard-Lenoir,75014,15.3,
160,99.0,Avenue Philippe-Auguste,75020,16.1,
161,92.0,Rue De La Roquette,75005,12.8,
162,145.0,Rue Cardinet,75016,14.4,
163,178.0,Avenue Hoche,75002,15.8,
164,46.0,Avenue Philippe-Auguste,75020,21.8,
165,205.0,Boulevard Jules Ferry,75010,12.8,
166,62.0,Rue Du Faubourg Saint-Honoré,75016,18.4,
167,35.0,Boulevard Du Temple,75017,18.7,
168,149.0,Boulevard Richard-Lenoir,75013,12.8,
169,180.0,Rue De Belleville,75017,15.2,
170,92.0,Rue De Lévis,75001,24.4,
171,24.0,Boulevard Malesherbes,75012,13.9,
172,211.0,Avenue De Clichy,75004,22.5,
173,147.0,Rue Blanche,75002,18.22935472400022,
174,22.0,Rue Du Temple,75011,14.8,
175,172.0,Avenue Victor Hugo,75007,8.3,
176,4.0,Avenue Des Champs-Elysées,75011,15.4,
177,3.0,Boulevard Pereire,75015,21.9,
178,6.0,Rue Lafayette,75010,18.1,
179,142.0,Rue Popincourt,75016,22.9,
180,143.0,Boulevard Saint-Germain,75016,26.3,
181,185.0,Avenue Trudaine,75018,4.3,
182,59.0,Avenue De La Bastille,75011,23.4,
183,120.0,Avenue De Wagram,75005,21.4,
184,118.0,Boulevard Du Temple,75015,17.4,
185,240.0,Boulevard Jules Ferry,75018,21.6,
186,151.0,Avenue De Wagram,75009,12.5,
187,207.0,Rue Blanche,75013,15.7,
188,39.0,Boulevard Voltaire,75003,26.7,
189,220.0,Boulevard Richard-Lenoir,75012,23.9,
190,57.0,Rue Du Faubourg Saint-Honoré,75012,17.9,
191,198.0,Rue Cardinet,75015,15.5,
192,32.0,Rue De Lévis,75003,10.8,
193,45.0,Rue De La Folie-Méricourt,75006,18.1,
194,178.0,Boulevard Richard-Lenoir,75015,30.3,
195,148.0,Rue De Ménilmontant,75016,7.3,
196,237.0,Boulevard Voltaire,75010,11.1,
197,165.0,Avenue Victor Hugo,75001,19.6,
198,213.0,Rue De Belleville,75019,17.9,
199,12.0,Rue De Courcelles,75001,18.7,
200,231.0,Rue Saint-Antoine,75001,16.6,
201,174.0,Rue Lafayette,75006,25.7,
202,162.0,Avenue De La République,75002,12.9,
203,181.0,Boulevard Richard-Lenoir,75020,39.5,
204,223.0,Rue Des Martyrs,75017,18.22935472400022,
205,143.0,Avenue De Clichy,75015,14.4,
206,82.0,Avenue Parmentier,75011,15.6,
207,34.0,Avenue De Clichy,75002,14.6,
208,163.0,Rue De La Folie-Méricourt,75018,5.6,
209,193.0,Rue De Ménilmontant,75011,19.8,
210,170.0,Rue De Ménilmontant,75012,17.9,
211,134.0,Boulevard Pereire,75011,14.8,
212,118.0,Avenue Victor Hugo,75014,7.9,
213,3.0,Rue De La Paix,75019,21.9,
214,17.0,Boulevard De Magenta,75010,16.5,
215,240.0,Rue Blanche,75016,18.4,
216,230.0,Boulevard Jules Ferry,75005,11.6,
217,169.0,Rue Oberkampf,75006,15.5,
218,168.0,Rue De Ménilmontant,75002,25.6,
219,140.0,Boulevard Voltaire,75017,18.0,
220,98.0,Boulevard Voltaire,75008,31.3,
221,131.0,Avenue De Clichy,75013,17.0,
222,117.0,Boulevard De Magenta,75017,21.5,
223,244.0,Avenue De Clichy,75020,24.1,
224,182.0,Avenue Hoche,75007,24.1,
225,186.0,Avenue De Clichy,75011,15.1,
226,229.0,Rue Oberkampf,75012,27.1,
227,225.0,Boulevard Voltaire,75007,14.7,
228,75.0,Rue De La Paix,75010,22.2,
229,45.0,Boulevard Voltaire,75020,14.6,
230,4.0,Boulevard Richard-Lenoir,75016,12.0,
231,95.0,Rue De La Paix,75014,16.9,
232,4.0,Rue De Charonne,75008,29.7,
233,153.0,Boulevard Malesherbes,75002,17.4,
234,211.0,Boulevard Malesherbes,75007,18.7,
235,65.0,Boulevard De Magenta,75013,18.22935472400022,
236,34.0,Avenue De La République,75002,1.9,
237,172.0,Avenue Hoche,75016,18.2,
238,223.0,Rue Saint-Maur,75011,9.6,
239,131.0,Avenue De La Bastille,75016,27.2,
240,0.0,Rue Saint-Maur,75012,21.3,
241,111.0,Rue De Prony,75004,14.7,
242,79.0,Rue Saint-Maur,75011,21.9,
243,175.0,Rue Condorcet,75013,25.8,
244,5.0,Rue De Ménilmontant,75008,25.1,
245,168.0,Rue Cardinet,75012,22.8,
246,213.0,Rue Lafayette,75006,9.1,
247,53.0,Avenue Hoche,75006,24.7,
248,109.0,Boulevard Saint-Germain,75007,21.5,
249,80.0,Rue De Rivoli,75013,10.9,
250,163.0,Rue Du Temple,75017,16.2,
251,217.0,Avenue Des Champs-Elysées,75014,10.1,
252,83.0,Avenue Victor Hugo,75004,17.7,
253,180.0,Rue De La Roquette,75005,23.6,
254,246.0,Rue De Rivoli,75001,18.5,
255,56.0,Rue De Rome,75003,19.2,
256,7.0,Boulevard Des Batignolles,75005,4.9,
257,69.0,Avenue De Wagram,75019,15.7,
258,158.0,Rue De La Roquette,75016,15.9,
259,70.0,Rue Saint-Antoine,75014,15.0,
260,161.0,Boulevard Jules Ferry,75012,24.1,
261,92.0,Avenue De Clichy,75005,11.6,
262,61.0,Boulevard De Rochechouart,75002,11.4,
263,120.0,Boulevard Voltaire,75008,16.6,
264,215.0,Avenue Des Champs-Elysées,75020,16.2,
265,124.0,Avenue Montaigne,75009,18.0,
266,199.0,Avenue Philippe-Auguste,75008,19.2,
267,77.0,Rue Saint-Antoine,75019,8.7,
268,231.0,Avenue Trudaine,75012,15.0,
269,91.0,Boulevard Beaumarchais,75007,31.9,
270,15.0,Boulevard Beaumarchais,75008,17.3,
271,21.0,Boulevard De Magenta,75014,24.0,
272,224.0,Rue De Lévis,75002,20.2,
273,188.0,Avenue De La Bastille,75013,12.0,
274,86.0,Avenue Trudaine,75013,13.5,
275,176.0,Avenue Hoche,75002,21.9,
276,23.0,Avenue Philippe-Auguste,75015,22.0,
277,26.0,Rue De Lévis,75018,12.7,
278,59.0,Boulevard Pereire,75015,24.7,
279,206.0,Rue De Ménilmontant,75006,23.5,
280,10.0,Rue De Rivoli,75003,12.5,
281,212.0,Boulevard Pereire,75003,16.3,
282,229.0,Rue De La Roquette,75003,91.8,True
283,83.0,Boulevard Saint-Germain,75004,6.7,
284,89.0,Rue Popincourt,75014,29.7,
285,246.0,Rue Cardinet,75011,13.2,
286,249.0,Rue Blanche,75010,13.3,
287,73.0,Avenue Hoche,75017,7.9,
288,10.0,Rue Du Faubourg Saint-Honoré,75015,15.7,
289,37.0,Avenue Ledru-Rollin,75013,13.8,
290,61.0,Rue De La Roquette,75017,27.7,
291,58.0,Rue De Rivoli,75009,13.2,
292,123.0,Boulevard Des Batignolles,75006,13.1,
293,88.0,Rue Cardinet,75016,23.6,
294,201.0,Avenue Parmentier,75001,21.2,
295,108.0,Boulevard Des Batignolles,75019,13.9,
296,0.0,Avenue De La Bastille,75005,21.3,
297,2.0,Rue De Rivoli,75004,14.6,
298,238.0,Rue Cardinet,75005,30.8,
299,176.0,Rue De Belleville,75009,25.1,
300,159.0,Rue De Ménilmontant,75010,18.6,
301,228.0,Rue De La Paix,75011,17.0,
302,28.0,Rue Popincourt,75010,35.4,
303,38.0,Boulevard Jules Ferry,75003,16.7,
304,168.0,Boulevard Haussmann,75005,19.4,
305,3.0,Rue Oberkampf,75012,27.3,
306,204.0,Rue Saint-Maur,75003,29.4,
307,42.0,Boulevard Jules Ferry,75008,19.7,
308,144.0,Avenue Philippe-Auguste,75017,23.1,
309,22.0,Avenue Des Champs-Elysées,75016,12.5,
310,139.0,Boulevard Du Temple,75016,17.8,
311,20.0,Rue De Charonne,75012,21.3,
312,97.0,Rue Condorcet,75010,34.6,
313,4.0,Rue Lafayette,75004,16.9,
314,234.0,Avenue Victor Hugo,75006,13.4,
315,88.0,Rue De Courcelles,75016,0.0,
316,158.0,Boulevard Jules Ferry,75014,28.3,
317,185.0,Boulevard Haussmann,75015,15.6,
318,197.0,Boulevard Saint-Germain,75010,25.6,
319,111.0,Avenue Victor Hugo,75006,23.1,
320,151.0,Rue Amelot,75020,26.2,
321,50.0,Rue De Lévis,75003,10.1,
322,138.0,Avenue Ledru-Rollin,75009,19.3,
323,60.0,Rue De La Folie-Méricourt,75004,6.7,
324,80.0,Rue De Lévis,75009,4.8,
325,195.0,Rue Jean-Pierre Timbaud,75004,24.0,
326,142.0,Rue De Ménilmontant,75001,1.1,
327,50.0,Rue Amelot,75014,17.0,
328,199.0,Rue Amelot,75002,21.1,
329,36.0,Boulevard Haussmann,75003,29.7,
330,157.0,Boulevard Richard-Lenoir,75002,25.7,
331,221.0,Rue Lafayette,75015,22.6,
332,107.0,Avenue Parmentier,75019,21.4,
333,141.0,Avenue Des Champs-Elysées,75005,20.2,
334,244.0,Avenue De La Bastille,75003,15.5,
335,64.0,Avenue Victor Hugo,75016,9.4,
336,209.0,Rue Saint-Antoine,75004,14.2,
337,135.0,Rue De Rome,75007,13.8,
338,169.0,Rue De Prony,75008,14.0,
339,28.0,Boulevard Jules Ferry,75014,27.5,
340,123.0,Avenue Des Champs-Elysées,75012,25.6,
341,44.0,Rue Saint-Antoine,75019,34.0,
342,208.0,Boulevard Saint-Germain,75009,13.7,
343,76.0,Rue Du Faubourg Saint-Honoré,75002,18.22935472400022,
344,163.0,Rue Du Faubourg Saint-Honoré,75007,16.8,
345,103.0,Avenue De Wagram,75007,25.3,
346,186.0,Avenue De Wagram,75001,13.9,
347,214.0,Rue De Lévis,75010,21.1,
348,195.0,Avenue De Wagram,75001,16.5,
349,233.0,Rue Des Martyrs,75019,11.7,
350,128.0,Rue De Rome,75009,27.2,
351,171.0,Avenue De Wagram,75014,20.1,
352,7.0,Boulevard Saint-Germain,75012,15.0,
353,150.0,Avenue De Wagram,75004,13.5,
354,147.0,Rue De La Roquette,75006,18.22935472400022,
355,207.0,Rue Des Martyrs,75004,10.5,
356,244.0,Rue Condorcet,75002,12.1,
357,183.0,Avenue Victor Hugo,75013,15.4,
358,67.0,Boulevard Jules Ferry,75013,20.1,
359,103.0,Avenue De Wagram,75010,26.1,
360,113.0,Boulevard Pereire,75001,19.1,
361,109.0,Rue De Belleville,75003,24.3,
362,225.0,Rue Blanche,75004,17.7,
363,226.0,Boulevard Pereire,75007,7.9,
364,221.0,Boulevard Pereire,75006,13.7,
365,190.0,Avenue De Wagram,75003,18.5,
366,84.0,Rue De Courcelles,75011,15.1,
367,175.0,Avenue Parmentier,75001,25.6,
368,42.0,Rue Cardinet,75003,16.7,
369,183.0,Rue Saint-Antoine,75015,5.9,
370,56.0,Rue De Rivoli,75020,20.5,
371,69.0,Rue Du Faubourg Saint-Honoré,75011,13.8,
372,52.0,Boulevard Richard-Lenoir,75011,16.5,
373,204.0,Avenue De La République,75012,17.0,
374,122.0,Avenue De La République,75001,23.3,
375,137.0,Rue De La Paix,75003,13.2,
376,50.0,Boulevard Jules Ferry,75010,18.5,
377,173.0,Boulevard Voltaire,75020,20.5,
378,112.0,Rue De Rome,75005,22.8,
379,180.0,Avenue Montaigne,75009,8.1,
380,34.0,Avenue Parmentier,75015,27.8,
381,57.0,Avenue Victor Hugo,75020,18.5,
382,151.0,Boulevard Richard-Lenoir,75007,20.5,
383,201.0,Rue De Prony,75016,19.6,
384,41.0,Rue De La Paix,75008,29.2,
385,48.0,Rue De Belleville,75001,29.0,
386,220.0,Rue De Prony,75008,11.2,
387,161.0,Avenue Ledru-Rollin,75015,15.3,
388,129.0,Rue Des Martyrs,75017,20.2,
389,48.0,Boulevard Beaumarchais,75019,14.7,
390,69.0,Rue Saint-Maur,75007,18.22935472400022,
391,201.0,Rue De La Folie-Méricourt,75011,22.7,
392,201.0,Boulevard De Rochechouart,75010,15.2,
393,164.0,Rue Blanche,75003,7.9,
394,37.0,Rue De Lévis,75002,12.5,
395,5.0,Rue Du Temple,75019,13.8,
396,168.0,Avenue Hoche,75015,23.1,
397,191.0,Rue Du Temple,75019,24.2,
398,229.0,Avenue De La République,75007,28.2,
399,175.0,Rue Jean-Pierre Timbaud,75004,15.7,
400,79.0,Boulevard Des Batignolles,75002,22.3,
401,223.0,Avenue Parmentier,75020,21.7,
402,204.0,Rue Amelot,75014,19.9,
403,24.0,Boulevard Malesherbes,75018,21.7,
404,239.0,Rue Blanche,75015,17.6,
405,34.0,Avenue De Clichy,75009,19.3,
406,50.0,Boulevard Richard-Lenoir,75002,18.8,
407,111.0,Rue Du Faubourg Saint-Honoré,75006,9.4,
408,53.0,Rue Lafayette,75011,17.4,
409,183.0,Rue Condorcet,75005,14.0,
410,190.0,Avenue Montaigne,75006,23.6,
411,182.0,Rue De La Folie-Méricourt,75008,11.1,
412,38.0,Avenue Parmentier,75015,21.0,
413,122.0,Avenue Ledru-Rollin,75005,13.0,
414,42.0,Boulevard Beaumarchais,75002,12.6,
415,31.0,Rue Cardinet,75008,15.2,
416,32.0,Rue Saint-Antoine,75019,18.8,
417,226.0,Rue De Charonne,75005,14.3,
418,96.0,Boulevard Saint-Germain,75012,23.0,
419,236.0,Rue Amelot,75014,18.1,
420,110.0,Avenue Parmentier,75002,23.0,
421,33.0,Boulevard Pereire,75008,16.4,
422,39.0,Boulevard Beaumarchais,75017,14.7,
423,98.0,Boulevard Malesherbes,75004,18.22935472400022,
424,105.0,Avenue Victor Hugo,75010,30.0,
425,195.0,Boulevard Saint-Germain,75014,25.9,
426,236.0,Rue De Ménilmontant,75015,32.1,
427,12.0,Rue De Belleville,75008,36.7,
428,44.0,Boulevard Saint-Germain,75007,12.7,
429,193.0,Rue Saint-Antoine,75012,13.6,
430,216.0,Avenue De Clichy,75017,34.2,
431,113.0,Rue Condorcet,75008,13.1,
432,71.0,Avenue De La République,75006,16.8,
433,163.0,Rue Du Temple,75005,19.9,
434,236.0,Rue Cardinet,75003,23.4,
435,191.0,Boulevard Voltaire,75013,15.5,
436,103.0,Rue Cardinet,75007,9.8,
437,0.0,Boulevard De Magenta,75017,21.2,
438,234.0,Rue De Rivoli,75016,16.8,
439,82.0,Boulevard Malesherbes,75019,8.7,
440,157.0,Rue De Belleville,75003,31.7,
441,201.0,Rue Oberkampf,75012,21.0,
442,53.0,Avenue De Clichy,75003,22.9,
443,231.0,Rue De Courcelles,75017,15.3,
444,46.0,Avenue Des Champs-Elysées,75003,27.5,
445,100.0,Rue Du Faubourg Saint-Honoré,75005,21.0,
446,102.0,Rue Lafayette,75006,14.5,
447,30.0,Rue De Belleville,75009,13.9,
448,66.0,Avenue Parmentier,75012,11.2,
449,130.0,Rue Du Temple,75012,16.2,
450,114.0,Boulevard Du Temple,75004,14.7,
451,179.0,Boulevard Saint-Germain,75018,13.1,
452,121.0,Avenue De Clichy,75018,28.7,
453,217.0,Rue De Courcelles,75005,29.4,
454,140.0,Rue Du Temple,75011,13.7,
455,233.0,Rue Jean-Pierre Timbaud,75020,14.3,
456,34.0,Rue Lafayette,75009,20.7,
457,172.0,Avenue De La Bastille,75006,20.7,
458,160.0,Boulevard Pereire,75012,8.2,
459,148.0,Boulevard Saint-Germain,75004,25.3,
460,200.0,Rue Saint-Antoine,75016,11.2,
461,81.0,Rue De Ménilmontant,75016,22.9,
462,240.0,Avenue Trudaine,75003,13.3,
463,29.0,Rue De Ménilmontant,75008,21.8,
464,9.0,Avenue De La Bastille,75011,19.8,
465,87.0,Avenue Trudaine,75006,22.4,
466,210.0,Rue Condorcet,75017,8.8,
467,174.0,Boulevard Jules Ferry,75006,24.9,
468,50.0,Rue De Belleville,75015,14.3,
469,85.0,Avenue Victor Hugo,75003,20.4,
470,86.0,Avenue Philippe-Auguste,75005,12.6,
471,74.0,Rue Du Faubourg Saint-Honoré,75013,17.2,
472,59.0,Boulevard De Magenta,75017,12.7,
473,60.0,Rue De Lévis,75004,33.3,
474,219.0,Boulevard Haussmann,75013,14.9,
475,47.0,Boulevard De Rochechouart,75003,23.9,
476,149.0,Avenue De Clichy,75007,27.2,
477,249.0,Avenue Philippe-Auguste,75001,27.9,
478,81.0,Rue De Prony,75003,23.7,
479,235.0,Rue De Rivoli,75014,9.0,
480,17.0,Boulevard Saint-Germain,75015,12.5,
481,70.0,Avenue De Wagram,75002,13.0,
482,229.0,Avenue Victor Hugo,75015,13.1,
483,127.0,Boulevard Jules Ferry,75016,23.7,
484,31.0,Avenue De La République,75011,16.1,
485,0.0,Avenue De La Bastille,75013,26.7,
486,2.0,Boulevard De Rochechouart,75013,18.3,
487,132.0,Rue De Courcelles,75012,11.8,
488,0.0,Rue Condorcet,75001,29.3,
489,146.0,Avenue Victor Hugo,75002,23.1,
490,43.0,Avenue De Clichy,75014,18.4,
491,73.0,Rue Jean-Pierre Timbaud,75011,14.9,
492,0.0,Rue Cardinet,75012,13.2,
493,166.0,Avenue Philippe-Auguste,75001,9.0,
494,6.0,Rue De Rome,75016,16.6,
495,181.0,Avenue Ledru-Rollin,75012,14.4,
496,17.0,Avenue Parmentier,75018,14.1,
497,201.0,Boulevard Saint-Germain,75020,17.5,
498,103.0,Avenue Hoche,75001,15.9,
499,177.0,Avenue De La Bastille,75017,14.0,
500,126.0,Boulevard Jules Ferry,75015,23.9,
501,228.0,Avenue Parmentier,75010,23.4,
502,52.0,Rue De Lévis,75008,28.8,
503,180.0,Rue Jean-Pierre Timbaud,75005,22.8,
504,165.0,Rue Lafayette,75017,24.4,
505,54.0,Avenue Des Champs-Elysées,75015,10.6,
506,173.0,Boulevard Malesherbes,75018,21.0,
507,141.0,Boulevard Beaumarchais,75009,13.6,
508,211.0,Boulevard Pereire,75002,18.22935472400022,
509,90.0,Rue Des Martyrs,75004,17.7,
510,242.0,Rue Du Temple,75015,16.0,
511,215.0,Boulevard Du Temple,75005,12.0,
512,123.0,Boulevard Haussmann,75011,25.7,
513,164.0,Boulevard Jules Ferry,75012,17.0,
514,220.0,Rue Oberkampf,75014,21.9,
515,118.0,Avenue Ledru-Rollin,75015,23.5,
516,152.0,Avenue De La République,75004,0.1,
517,227.0,Boulevard De Magenta,75019,9.9,
518,0.0,Boulevard De Rochechouart,75017,19.6,
519,148.0,Avenue De La République,75010,23.8,
520,119.0,Avenue Trudaine,75018,21.4,
521,8.0,Boulevard Haussmann,75011,22.4,
522,83.0,Boulevard Jules Ferry,75007,33.2,
523,104.0,Avenue Parmentier,75007,34.7,
524,60.0,Avenue Parmentier,75019,18.1,
525,230.0,Boulevard Des Batignolles,75002,11.8,
526,51.0,Rue Saint-Maur,75016,19.3,
527,3.0,Rue Cardinet,75013,26.3,
528,159.0,Avenue De La République,75018,8.8,
529,69.0,Rue De Ménilmontant,75007,18.22935472400022,
530,184.0,Rue Popincourt,75015,16.3,
531,204.0,Avenue De Clichy,75001,14.7,
532,237.0,Avenue De La Bastille,75019,16.3,
533,99.0,Boulevard Des Batignolles,75006,11.6,
534,32.0,Rue Condorcet,75012,17.5,
535,176.0,Rue Du Temple,75003,12.9,
536,108.0,Avenue De Clichy,75013,9.9,
537,6.0,Rue De La Roquette,75017,12.3,
538,238.0,Rue Lafayette,75008,23.2,
539,156.0,Rue De Belleville,75007,16.1,
540,235.0,Boulevard Haussmann,75008,17.5,
541,68.0,Avenue De La Bastille,75003,15.5,
542,17.0,Avenue Montaigne,75015,19.0,
543,104.0,Avenue Ledru-Rollin,75004,19.4,
544,88.0,Avenue Victor Hugo,75019,24.8,
545,213.0,Rue Saint-Maur,75009,12.0,
546,111.0,Boulevard Jules Ferry,75002,8.2,
547,157.0,Avenue Ledru-Rollin,75007,16.3,
548,248.0,Avenue De La République,75003,108.8,True
549,221.0,Rue De Courcelles,75008,29.9,
550,83.0,Avenue De La Bastille,75013,18.9,
551,185.0,Rue Amelot,75019,11.6,
552,205.0,Rue Blanche,75018,27.3,
553,81.0,Boulevard Beaumarchais,75018,18.9,
554,107.0,Rue Du Faubourg Saint-Honoré,75009,18.6,
555,224.0,Rue De La Paix,75005,13.4,
